rai_cityadjusted_total_2019_q3, geography_name, unique_id, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, state, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2020_q4, rai_cityadjusted_total_2021_q1, city
87.16104,"2000",1,84.13462,86.75535,89.21491,86.53846,102.3573,"NSW",97.63314,94.71871,109.4164,102.3573,"Greater Sydney"
121.3966,"2007",2,144.575,117.9802,114.2961,117.6251,126.9231,"NSW",115.3846,132.2115,130.8485,141.0256,"Greater Sydney"
100.9615,"2008",3,99.30643,91.57509,96.15385,113.2279,116.4432,"NSW",111.336,124.4344,127.1774,119.7388,"Greater Sydney"
122.3776,"2077",60,121.7627,117.1417,124.9009,126.2019,137.9599,"NSW",137.9599,141.0256,141.0256,144.2308,"Greater Sydney"
151.4423,"2250",195,144.2308,137.3626,147.7486,151.4423,151.0989,"NSW",158.6538,141.0256,145.8886,144.2308,"Greater Sydney"
121.1538,"2251",196,126.8627,117.7394,119.9543,121.1538,122.0414,"NSW",129.5133,101.5385,113.3242,107.5619,"Greater Sydney"
151.4423,"2256",197,151.4423,144.2308,151.4423,152.3948,152.9194,"NSW",151.0989,141.0256,158.6538,144.2308,"Greater Sydney"
null,"5094",955,null,null,null,null,null,"SA",null,null,null,null,"Greater Adelaide"
86.53846,"2009",4,80.76923,76.92308,86.53846,85.31961,105.7692,"NSW",105.7692,98.38998,115.3846,105.7692,"Greater Sydney"
96.15385,"2010",5,94.65144,85.47009,93.19527,91.78322,113.3242,"NSW",106.658,115.3846,115.3846,115.3846,"Greater Sydney"
100.9615,"2011",6,97.70471,90.14423,101.81,100.9615,115.3846,"NSW",115.3846,106.658,117.5214,115.3846,"Greater Sydney"
96.15385,"2090",72,93.19527,87.41259,93.19527,96.92308,105.7692,"NSW",102.3573,105.7692,108.9468,105.7692,"Greater Sydney"
96.92308,"2015",7,96.15385,91.57509,94.65144,98.49906,111.336,"NSW",109.4164,105.7692,115.3846,109.4164,"Greater Sydney"
119.0116,"2016",8,106.2753,113.3444,110.1399,107.2158,105.7692,"NSW",105.7692,126.9231,112.3213,115.3846,"Greater Sydney"
84.13462,"2017",9,84.13462,79.03056,84.13462,86.53846,105.7692,"NSW",100.7326,102.3573,107.5619,105.7692,"Greater Sydney"
93.19527,"2018",10,93.19527,84.84163,93.19527,93.19527,115.3846,"NSW",105.7692,113.3242,115.3846,111.336,"Greater Sydney"
61.81319,"2092",73,63.76518,51.97505,59.82906,43.26923,65.93407,"NSW",65.08876,48.81657,50.87097,52.88462,"Greater Sydney"
96.92308,"2093",74,93.19527,87.41259,93.19527,96.15385,102.3573,"NSW",97.63314,94.3666,95.43088,99.15865,"Greater Sydney"
96.15385,"2019",11,98.49906,94.57755,100.1271,99.30643,117.5214,"NSW",107.5619,111.336,115.3846,109.4164,"Greater Sydney"
83.55438,"2020",12,82.98209,77.96258,86.53846,87.79264,104.0353,"NSW",97.63314,105.7692,109.4164,105.7692,"Greater Sydney"
89.08371,"2103",83,82.69887,88.7574,89.08371,97.70471,97.63314,"NSW",103.1895,97.63314,93.67017,96.15385,"Greater Sydney"
null,"2104",84,null,54.94505,null,null,null,"NSW",52.44755,42.30769,49.77376,42.30769,"Greater Sydney"
94.65144,"2021",13,91.78322,82.41758,93.19527,93.19527,110.3679,"NSW",97.63314,114.3451,106.658,114.3451,"Greater Sydney"
134.6154,"2105",85,null,null,null,null,null,"NSW",null,null,null,null,"Greater Sydney"
100.9615,"2106",86,93.19527,96.15385,101.81,93.19527,107.5619,"NSW",103.1895,88.14103,87.53316,91.97324,"Greater Sydney"
77.91244,"2107",87,67.30769,70.35647,79.44515,86.53846,93.32579,"NSW",84.61538,74.66063,74.66063,70.51282,"Greater Sydney"
57.69231,"2108",88,60.88133,64.10256,57.69231,null,null,"NSW",68.97993,null,null,null,"Greater Sydney"
74.32751,"2110",89,95.39673,84.22235,86.53846,83.26725,79.32692,"NSW",93.32579,90.98428,92.64458,97.63314,"Greater Sydney"
